id,numero_plant,date_plantation,age_plant,longitude,latitude,suivi_biannuelle,altitude,zone_pedo,distance_a_mer_reel,commentaires,geom
1684,"RN 01702",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1685,"RN 01703",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1686,"RN 01704",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1687,"RN 01705",2015-06-15,2,77.5505,-37.8036,,155,16,0,,0104000020D70B00000100000001010000007764B93EEAA85641EF9B51D4AC023441
1688,"RN 01706",2015-06-15,2,77.5505,-37.8035,,155,16,0,,0104000020D70B00000100000001010000006A07FB82EDA8564131EFCCB6AF023441
1689,"RN 01707",2015-06-15,2,77.5505,-37.8035,,155,16,0,,0104000020D70B00000100000001010000006A07FB82EDA8564131EFCCB6AF023441
1690,"RN 01708",2015-06-15,2,77.5505,-37.8035,,155,16,0,,0104000020D70B00000100000001010000006A07FB82EDA8564131EFCCB6AF023441
1691,"RN 01709",2015-06-15,2,77.5505,-37.8035,,155,16,0,,0104000020D70B00000100000001010000006A07FB82EDA8564131EFCCB6AF023441
1692,"RN 01710",2015-06-15,2,77.5505,-37.8035,1,155,16,0,,0104000020D70B00000400000001010000006A07FB82EDA8564131EFCCB6AF02344101010000006A07FB82EDA8564131EFCCB6AF02344101010000006A07FB82EDA8564131EFCCB6AF02344101010000006A07FB82EDA8564131EFCCB6AF023441
1693,"RN 01711",2015-06-15,2,77.5504,-37.8035,,155,16,0,,0104000020D70B0000010000000101000000108E7EF0ECA856417E70E214BA023441
1694,"RN 01712",2015-06-15,2,77.5504,-37.8035,,155,16,0,,0104000020D70B0000010000000101000000108E7EF0ECA856417E70E214BA023441
1695,"RN 01713",2015-06-15,2,77.5505,-37.8035,,155,16,0,,0104000020D70B00000100000001010000006A07FB82EDA8564131EFCCB6AF023441
1696,"RN 01714",2015-06-15,2,77.5505,-37.8035,,155,16,0,,0104000020D70B00000100000001010000006A07FB82EDA8564131EFCCB6AF023441
1698,"RN 01716",2015-06-15,2,77.5504,-37.8034,,155,16,0,,0104000020D70B00000100000001010000009E49C034F0A85641BD6A5FF7BC023441
1699,"RN 01717",2015-06-15,2,77.5504,-37.8035,,155,16,0,,0104000020D70B0000010000000101000000108E7EF0ECA856417E70E214BA023441
